Order,Order Chinese,Family,Family English,Family Chinese,Genus,Suggested Chinese genus name,China range keyword species count,Example China-tagged species
Pelecaniformes,鹈形目,Ardeidae,"Herons, Egrets, and Bitterns",,Gorsachius,,2,黑冠鳽 (Gorsachius melanolophus); 栗鳽 (Gorsachius goisagi)
Piciformes,䴕形目,Picidae,Woodpeckers,,Picus,,2,鳞喉绿啄木鸟 (Picus xanthopygaeus); 红颈绿啄木鸟 (Picus rabieri)
Psittaciformes,鹦形目,Psittaculidae,Old World Parrots,,Psittacula,,2,灰头鹦鹉 (Psittacula finschii); 大紫胸鹦鹉 (Psittacula derbiana)
Pterocliformes,沙鸡目,Pteroclidae,Sandgrouse,,Syrrhaptes,,2,毛腿沙鸡 (Syrrhaptes paradoxus); 西藏毛腿沙鸡 (Syrrhaptes tibetanus)
Accipitriformes,鹰形目,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",鹰科,Aquila,,1,白肩雕 (Aquila heliaca)
Accipitriformes,鹰形目,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",鹰科,Butastur,,1,白眼鵟鹰 (Butastur teesa)
Accipitriformes,鹰形目,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",鹰科,Buteo,,1,喜山鵟 (Buteo refectus)
Accipitriformes,鹰形目,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",鹰科,Clanga,,1,乌雕 (Clanga clanga)
Accipitriformes,鹰形目,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",鹰科,Tachyspiza,,1,赤腹鹰 (Tachyspiza soloensis)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Aix,,1,鸳鸯 (Aix galericulata)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Anas,,1,斑嘴鸭 (Anas zonorhyncha)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Mareca,,1,罗纹鸭 (Mareca falcata)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Marmaronetta,,1,云石斑鸭 (Marmaronetta angustirostris)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Mergellus,,1,斑头秋沙鸭 (Mergellus albellus)
